Team,MapName,Result,Margin,R,ACS,K,D,A,ADR,FK,FD,VS
PRX,Pearl,Loss,-9,0.67,168.4,9.0,14.8,3.6,122.0,1.4,2.0,C9
TH,Pearl,Loss,-5,0.96,191.8,14.0,15.4,6.2,124.0,2.2,2.0,EG
EG,Pearl,Win,5,1.081,206.5,15.7,14.5,7.0,133.6,1.7,2.5,TH
TH,Ascent,Loss,-5,0.884,195.2,13.8,17.6,7.8,126.6,1.6,2.6,EG
EG,Ascent,Win,5,1.1893333333333334,223.06666666666666,16.666666666666668,13.066666666666666,9.2,147.0,2.7333333333333334,1.4666666666666666,TH
MIBR,Haven,Loss,-5,0.968,211.4,15.4,16.0,8.0,137.6,2.0,2.2,TLN
TLN,Haven,Win,5,1.0539999999999998,217.0,16.0,15.4,7.6,138.4,2.2,2.0,MIBR
MIBR,Fracture,Loss,-2,1.018,205.0,16.8,17.4,10.2,132.4,2.6,2.2,TLN
TLN,Fracture,Win,2,1.018,211.0,17.4,16.8,6.2,135.8,2.2,2.6,MIBR
GEN,Pearl,Loss,-4,1.006,191.0,14.2,15.6,9.0,119.6,2.4,2.0,LOUD
LOUD,Pearl,Win,4,1.054,206.0,15.6,14.2,7.0,136.2,2.0,2.4,GEN
GEN,Fracture,Loss,-2,1.008,210.4,19.6,19.0,11.0,130.6,2.4,2.8,LOUD
LOUD,Fracture,Win,2,1.05,210.1,21.8,21.6,9.6,140.7,2.8,3.2,GEN
NRG,Lotus,Loss,-2,0.9335000000000001,194.15,16.9,17.95,7.6,126.9,2.85,2.25,GIA
GIA,Lotus,Win,2,1.1560000000000001,209.6,19.0,16.4,8.6,140.4,2.4,2.8,NRG
NRG,Haven,Win,12,1.357,229.5,11.8,6.8,5.6,147.2,1.7,1.1,GIA
GIA,Haven,Loss,-12,0.72,165.8,7.4,11.8,3.0,113.8,1.6,1.2,NRG
NRG,Icebox,Win,6,1.252,226.6,16.2,11.4,9.6,147.6,2.8,1.4,GIA
GIA,Icebox,Loss,-6,0.772,172.6,11.4,16.2,4.6,114.4,1.2,2.6,NRG
LOUD,Pearl,Win,3,1.0939999999999999,204.8,16.8,15.8,6.6,139.2,2.4,2.2,KC
KC,Pearl,Loss,-3,0.942,201.2,15.8,16.8,7.4,132.0,2.2,2.4,LOUD
LOUD,Split,Win,5,1.075,198.7,14.7,13.3,5.9,130.1,2.7,1.5,KC
KC,Split,Loss,-5,0.9259999999999999,191.0,13.8,15.4,6.4,124.2,1.4,2.8,LOUD
DRX,Pearl,Loss,-10,0.6679999999999999,176.0,8.6,14.4,4.4,119.6,2.0,1.2,C9
C9,Pearl,Win,10,1.3820000000000001,243.0,14.4,8.6,7.4,155.2,1.2,2.0,DRX
C9,Haven,Loss,-6,0.8619999999999999,178.2,11.6,15.6,4.4,119.2,1.8,2.2,DRX
DRX,Icebox,Win,11,1.3539999999999999,231.6,12.8,7.0,5.4,144.0,2.0,1.0,C9
C9,Icebox,Loss,-11,0.636,146.8,7.0,12.8,2.6,92.4,1.0,2.0,DRX
EG,Haven,Loss,-2,0.944,184.8,15.0,17.8,9.4,118.0,1.8,3.0,TLN
